emision energy,2460.00 eV,2469.50 eV,2471.00 eV,2472.00 eV
2453.1218459646366,3,6,9,7
2453.3323746339533,0,5,7,9
2453.5429033032697,0,7,6,9
2453.753431972586,2,5,8,9
2453.9639606419023,4,8,11,13
2454.174489311219,2,4,9,8
2454.3850179805354,3,2,8,12
2454.5955466498517,2,6,12,13
2454.806075319168,2,9,9,21
2455.016603988485,0,6,10,8
2455.227132657801,3,7,11,9
2455.4376613271174,1,11,9,15
2455.6481899964338,3,7,13,10
2455.8587186657505,3,8,11,12
2456.069247335067,4,15,13,16
2456.279776004383,5,9,14,20
2456.4903046737,3,10,16,20
2456.7008333430163,3,13,16,13
2456.9113620123326,1,12,19,14
2457.121890681649,2,6,15,16
2457.3324193509657,6,10,12,10
2457.542948020282,3,12,11,20
2457.7534766895983,7,12,20,15
2457.9640053589146,3,11,12,19
2458.1745340282314,8,14,12,10
2458.3850626975477,12,9,14,15
2458.595591366864,11,8,15,11
2458.8061200361803,28,15,22,13
2459.016648705497,57,14,16,27
2459.2271773748134,111,18,16,21
2459.4377060441298,150,17,19,22
2459.648234713446,185,20,29,18
2459.858763382763,125,23,21,23
2460.069292052079,111,23,22,13
2460.2798207213955,107,32,28,20
2460.4903493907123,70,27,27,15
2460.7008780600286,83,37,41,35
2460.911406729345,45,31,51,24
2461.121935398661,28,38,38,34
2461.332464067978,21,39,58,37
2461.5429927372943,20,31,78,56
2461.7535214066106,15,44,61,57
2461.964050075927,9,31,70,70
2462.1745787452437,8,33,107,57
2462.38510741456,9,22,91,82
2462.5956360838763,9,48,103,82
2462.8061647531927,6,35,127,114
2463.0166934225094,2,31,116,122
2463.2272220918258,6,38,102,98
2463.437750761142,2,50,103,114
2463.6482794304584,1,41,126,120
2463.858808099775,6,45,112,130
2464.0693367690915,3,64,117,127
2464.279865438408,1,75,122,135
2464.4903941077246,1,59,112,132
2464.700922777041,0,65,114,143
2464.911451446357,3,83,120,124
2465.1219801156735,2,68,114,121
2465.3325087849903,3,70,115,135
2465.5430374543066,1,69,138,122
2465.753566123623,2,64,184,124
2465.9640947929392,2,56,187,153
2466.174623462256,0,42,183,151
2466.3851521315723,1,34,172,175
2466.5956808008887,0,33,204,192
2466.806209470205,2,26,220,195
2467.0167381395217,3,15,213,230
2467.227266808838,2,21,213,227
2467.4377954781544,0,15,192,229
2467.648324147471,1,22,154,195
2467.8588528167875,0,31,127,213
2468.069381486104,1,40,97,197
2468.27991015542,0,61,68,175
2468.490438824737,3,93,41,139
2468.700967494053,1,166,42,108
2468.9114961633695,0,145,38,77
2469.122024832686,0,150,26,39
2469.3325535020026,1,134,30,45
2469.543082171319,1,145,41,20
2469.7536108406352,3,165,40,27
2469.9641395099516,1,137,79,22
2470.1746681792683,1,87,138,21
2470.3851968485847,1,63,125,39
2470.595725517901,2,35,129,45
2470.8062541872173,2,28,135,69
2471.016782856534,0,14,120,107
2471.2273115258504,0,9,148,129
2471.4378401951667,0,13,131,131
2471.6483688644835,0,8,79,132
2471.8588975338,0,8,54,124
2472.069426203116,0,4,43,150
2472.2799548724324,1,7,22,150
2472.490483541749,1,4,21,104
2472.7010122110655,0,6,8,68
2472.911540880382,0,1,14,51
2473.122069549698,0,0,6,30
2473.332598219015,3,3,2,26
2473.5431268883312,0,3,5,8
2473.7536555576476,0,0,3,5
2473.964184226964,0,1,6,4
2474.1747128962807,0,1,6,7
2474.385241565597,0,2,2,2
2474.5957702349133,0,2,0,7
2474.8062989042296,1,2,3,3
2475.0168275735464,2,3,4,3
2475.2273562428627,1,4,4,5
2475.437884912179,0,2,3,5
2475.648413581496,1,3,2,5
2475.858942250812,0,4,6,4
2476.0694709201284,0,2,4,1
2476.2799995894447,0,0,5,2
2476.4905282587615,0,1,2,9
2476.701056928078,1,2,3,5
2476.911585597394,0,2,5,2
