emision energy,2460.00 eV,2469.50 eV,2471.00 eV,2472.00 eV
2436.0690237500053,0,0,3,1
2436.2795524193216,0,0,2,2
2436.4900810886384,0,0,1,2
2436.7006097579547,0,0,1,1
2436.911138427271,1,0,0,2
2437.1216670965873,0,0,1,1
2437.332195765904,0,1,1,1
2437.5427244352204,0,0,2,2
2437.7532531045367,0,1,1,1
2437.963781773853,0,0,3,2
2438.17431044317,0,4,1,4
2438.384839112486,2,3,6,2
2438.5953677818025,0,1,1,5
2438.8058964511188,1,3,2,5
2439.0164251204355,0,1,0,7
2439.226953789752,1,0,0,6
2439.437482459068,2,1,4,2
2439.6480111283845,1,1,6,4
2439.8585397977013,0,2,5,4
2440.0690684670176,0,1,3,8
2440.279597136334,0,6,7,6
2440.4901258056507,1,3,3,8
2440.700654474967,0,2,5,9
2440.9111831442833,1,2,8,2
2441.1217118135996,1,3,4,5
2441.3322404829164,0,0,4,6
2441.5427691522327,0,0,8,2
2441.753297821549,0,2,4,5
2441.9638264908654,0,1,7,1
2442.174355160182,2,4,4,7
2442.3848838294984,1,1,2,2
2442.5954124988148,1,2,4,2
2442.805941168131,1,1,4,2
2443.016469837448,1,1,5,4
2443.226998506764,0,2,6,8
2443.4375271760805,0,6,5,6
2443.648055845397,2,2,3,9
2443.8585845147136,0,4,7,4
2444.06911318403,0,2,6,5
2444.279641853346,0,3,7,0
2444.490170522663,0,2,4,3
2444.7006991919793,1,1,1,2
2444.9112278612956,4,1,8,7
2445.121756530612,0,3,4,3
2445.3322851999287,0,2,4,4
2445.542813869245,0,2,7,6
2445.7533425385614,3,1,4,5
2445.9638712078777,0,2,2,6
2446.1743998771944,1,3,6,7
2446.3849285465108,0,3,8,3
2446.595457215827,3,2,8,4
2446.8059858851434,1,2,6,3
2447.01651455446,1,3,8,3
2447.2270432237765,2,2,5,2
2447.437571893093,0,2,6,5
2447.648100562409,2,1,4,8
2447.858629231726,1,2,5,6
2448.069157901042,2,5,6,9
2448.2796865703585,2,3,2,4
2448.4902152396753,0,7,6,8
2448.7007439089916,2,5,5,4
2448.911272578308,2,2,6,5
2449.1218012476243,1,3,3,6
2449.332329916941,1,8,10,8
2449.5428585862574,4,3,9,7
2449.7533872555737,2,5,7,8
2449.96391592489,2,7,6,6
2450.1744445942068,0,1,8,6
2450.384973263523,3,4,7,10
2450.5955019328394,1,3,3,7
2450.8060306021557,1,2,6,7
2451.0165592714725,0,5,7,8
2451.227087940789,6,4,7,11
2451.437616610105,2,2,6,11
2451.6481452794214,2,5,10,6
2451.858673948738,0,2,7,11
2452.0692026180545,2,5,11,5
2452.279731287371,0,1,9,10
2452.4902599566876,3,3,7,8
2452.700788626004,2,3,8,9
2452.9113172953203,1,6,8,7
