incident_energy,raw_xas,cleaned_xas
2450.002896905791,2540,625
2450.100634152391,2396,588
2450.202687935661,2411,559
2450.3006515747684,2426,606
2450.403324341785,2400,610
2450.5009277883646,2391,584
2450.600698351668,2457,574
2450.7008759742653,2331,581
2450.8006780210253,2328,568
2450.900887255658,2249,605
2451.0034615462982,2334,614
2451.1009616529636,2238,576
2451.2008266972116,2293,609
2451.3010991866167,2280,567
2451.403934117087,2326,600
2451.5007121113536,2243,512
2451.600836054027,2206,537
2451.7011717772207,2410,594
2451.804071557678,2279,538
2451.901106627941,2233,552
2452.00109766612,2277,592
2452.101104449571,2296,569
2452.20112698084,2249,558
2452.301165262473,2194,562
2452.401023097221,2236,587
2452.5010928563283,2238,569
2452.6011783734384,2163,569
2452.701279651099,2211,550
2452.80139669186,2091,554
2452.9011367898047,2207,608
2453.0040346998294,2125,565
2453.101056754175,2158,567
2453.201040302326,2170,563
2453.3008430868917,2162,604
2453.401054543247,2167,605
2453.5010852410946,2103,539
2453.60093509032,2148,568
2453.701193804263,2109,551
2453.801075042603,2121,532
2453.9009719484598,2111,564
2454.0008845243624,2094,566
2454.1010094974454,2086,614
2454.2011502074083,2009,545
2454.301109870342,2095,600
2454.4008883961847,2114,589
2454.5010762392494,2096,603
2454.60088607127,2087,546
2454.701105349081,2174,565
2454.8011434381724,2150,640
2454.901000248411,1967,553
2455.0010696947916,2075,536
2455.1009578056405,2091,584
2455.201058619427,2103,523
2455.3013722314136,2208,629
2455.401110232298,2159,609
2455.5012581316346,2060,614
2455.601027365802,2046,564
2455.701403845696,2111,546
2455.801204354035,2101,554
2455.901415018008,2126,588
2456.001049468433,2130,589
2456.101291483485,2124,579
2456.201154477951,2061,610
2456.3010330771135,2015,556
2456.4011247183194,1987,575
2456.501034565265,2088,583
2456.601157521055,2141,621
2456.7050491879786,2142,592
2456.801252906328,2162,622
2456.901027689801,2201,649
2457.0014108943187,2097,587
2457.1049722750295,2104,595
2457.201236141216,2038,586
2457.3010733055016,2062,572
2457.401123784072,2101,611
2457.5013876721378,2063,588
2457.601073842976,2098,559
2457.701369039239,2089,642
2457.801284205242,2086,643
2457.901412852575,2059,589
2458.0013592183445,2082,619
2458.1013211723316,2131,621
2458.201298717045,2085,607
2458.3010938333696,2146,668
2458.4013005886873,2167,644
2458.5011268372373,2061,609
2458.601364853352,2019,588
2458.701420389347,2066,599
2458.8012933550335,2080,604
2458.9013800742123,2111,614
2459.001085928539,2030,560
2459.101402078739,2116,617
2459.201337307327,2136,615
2459.3010897620143,2100,592
2459.4012544366633,2137,659
2459.501037950209,2140,722
2459.601233812226,2085,628
2459.7010483946196,2160,590
2459.801275454036,1987,569
2459.9011211152724,2157,635
2460.0011808354498,2185,666
2460.101057554682,2172,693
2460.201148399603,2121,653
2460.301056186814,2131,702
2460.4011781664844,2177,675
2460.5009183306456,2142,700
2460.6010714241434,2183,680
2460.701041346412,2139,619
2460.8014243884513,2190,701
2460.9010277903017,2214,736
2461.0010443169144,2136,703
2461.101076383301,2142,707
2461.201322909247,2180,711
2461.3013860935816,2217,726
2461.4010668670367,2120,638
2461.5013600965444,2115,624
2461.6012708583908,2150,671
2461.700998041526,2219,725
2461.8013379661147,2115,685
2461.901295245222,2204,675
2462.001268024772,2216,730
2462.10125630725,2214,750
2462.2012600951457,2217,724
2462.3012793909497,2250,728
2462.401314197149,2182,708
2462.50116519739,2297,800
2462.601430350702,2230,745
2462.7009135612107,2344,759
2462.801209752617,2242,710
2462.9011226439297,2303,747
2463.001050998784,2382,729
2463.1011943237913,2454,767
2463.201153644045,2357,774
2463.3011284352847,2315,710
2463.401118699991,2248,722
2463.501523696177,2321,741
2463.6011456597334,2275,712
2463.7013820492684,2388,783
2463.8016339840774,2344,744
2463.901302212412,2513,787
2464.0013853700584,2470,791
2464.101084392354,2560,826
2464.2013983163324,2427,769
2464.3013280481305,2420,832
2464.4012732164224,2516,814
2464.501633697114,2508,824
2464.6016098075834,2527,772
2464.7016013619777,2620,843
2464.8012083039944,2576,825
2464.901430752119,2651,884
2465.0010684399685,2557,850
2465.1013218240932,2462,820
2465.2011904204865,2659,932
2465.301074413873,2645,874
2465.4061794076406,2676,927
2465.5012890925746,2610,891
2465.601419629984,2549,882
2465.701165021232,2726,1020
2465.8013264365923,2608,922
2465.901302956361,2792,998
2466.0010944903424,2697,975
2466.1013022411657,2726,951
2466.2013250111368,2701,1011
2466.3013632027796,2701,1069
2466.4012162948898,2697,1058
2466.501084751838,2769,1091
2466.601369746921,2845,1136
2466.7012690026454,2736,1073
2466.801384277836,2842,1171
2466.9011136332037,2749,1124
2467.0012597219593,2842,1210
2467.1014212521404,2835,1193
2467.201397455316,2832,1188
2467.301389043015,2866,1253
2467.401596850397,2982,1317
2467.5014183818244,2929,1285
2467.6010543490142,3037,1407
2467.7013083628926,3156,1450
2467.801175922983,3092,1398
2467.9010588205774,3065,1431
2468.00115807608,3235,1515
2468.100870638077,3197,1604
2468.201402802185,3347,1651
2468.301146056233,3288,1650
2468.401105739877,3274,1743
2468.5010807757426,3343,1799
2468.6010711662807,3440,1879
2468.7012781482376,3506,1945
2468.8010980211943,3608,2078
2468.9013357865883,3675,2189
2469.001186324256,3720,2257
2469.101052167095,3834,2352
2469.2013360951114,3804,2426
2469.301434037105,4105,2670
2469.401345902737,4283,2824
2469.5010716018282,4380,3010
2469.605648869506,4524,3186
2469.701374942495,4768,3374
2469.801146539294,5004,3620
2469.9015382144853,5179,3843
2470.0015420683517,5487,4174
2470.1015612518618,5727,4426
2470.201394069546,6074,4819
2470.3016456176047,6286,5102
2470.4013072852767,6872,5642
2470.5013877499878,7158,5989
2470.6012817350797,7292,6156
2470.7011910026877,7758,6527
2470.8011155552467,8002,6838
2470.9012573093364,8098,6896
2471.001414415098,8466,7284
2471.1013848989314,8431,7165
2471.2013706774796,8502,7284
2471.301371753182,8524,7309
2471.401186059771,8616,7425
2471.506068114395,8590,7403
2471.6010625265953,8703,7466
2471.701124753474,8667,7484
2471.801202289703,8796,7520
2471.9010929145174,8774,7520
2472.001201045841,8631,7406
2472.1013244938435,8761,7561
2472.2010586290644,8589,7397
2472.30121265585,8535,7346
2472.401382006641,8524,7275
2472.5013642751455,8447,7217
2472.6013618106726,8428,7263
2472.7015770862145,8300,7206
2472.801402692529,8222,7045
2472.9012435113905,8271,7090
2473.0010995452194,8360,7145
2473.1060356669554,8229,7081
2473.201059892409,8211,7013
2473.3013669283814,8238,6988
2473.4010812521155,8136,6911
2473.5014188943906,7958,6774
2473.6011636437815,7986,6742
2473.701126342897,7741,6541
2473.801104276379,7745,6542
2473.900894605325,7729,6484
2474.0011058561413,7544,6245
2474.1066079162715,7646,6344
2474.201168402479,7345,6086
2474.301425509257,7253,5895
2474.401088938871,7164,5911
2474.501173549921,6881,5549
2474.601070356991,6912,5596
2474.701185447086,6846,5519
2474.8009095566795,6820,5440
2474.901258255062,6585,5208
2475.0012159159437,6522,5124
2475.1011887808813,6310,5030
2475.2011768522925,6347,4994
2475.3011801325983,6388,5030
2475.4011986242167,6084,4853
2475.5014356656015,6156,4892
2475.6010778841737,6258,4921
2475.7011419933206,6187,4894
2475.80122132346,6293,5014
2475.901112417358,6282,5024
2476.001222165801,6354,5076
2476.1013471425013,6680,5406
2476.2010802450345,6526,5252
2476.301439206951,6691,5458
2476.406292998861,6638,5446
2476.501388444468,6776,5565
2476.601182153651,6948,5800
2476.7009909819476,6871,5706
2476.8012224074387,6977,5777
2476.9010615428942,7108,5993
2477.00091580467,7288,6116
2477.1011928563353,7110,6001
2477.200873578218,7139,6078
2477.3013849415906,7359,6283
2477.4012998562225,7475,6341
2477.501637817992,7318,6285
2477.6013790881943,7517,6394
2477.7013394559804,7481,6387
2477.8013149693293,7384,6361
2477.9013056306444,7610,6486
2478.006005964976,7581,6499
2478.1015365467083,7542,6518
2478.2011643556643,7480,6459
2478.301624005466,7528,6508
2478.4012820082658,7474,6464
2478.5013635769665,7402,6414
2478.6014603104777,7332,6324
2478.7013678857616,7518,6472
2478.8012905688174,7425,6392
2478.9014327492887,7410,6432
2479.0015901042025,7414,6355
2479.1013537376443,7513,6426
2479.201336906669,7400,6444
2479.306038963794,7420,6400
2479.401348606402,7403,6451
2479.501172569141,7320,6312
2479.6014208043744,7316,6292
2479.701070326972,7236,6242
2479.8013488541947,7220,6241
2479.901437880993,7131,6229
2480.0011325895402,7293,6302
2480.1014565882742,7275,6285
2480.201181422455,7225,6258
2480.3068610849023,7437,6430
2480.4012907065794,7192,6231
2480.501470464867,7140,6231
2480.6012555481307,7363,6389
2480.7012606048834,6998,6092
2480.801075780717,7156,6245
2480.901110996607,7153,6251
2481.0011613111183,7123,6165
2481.1012267266447,6957,5999
2481.201102147107,6915,5987
2481.3014028703246,6947,6069
2481.4011032825424,6834,5948
2481.5012290641484,6972,6002
2481.6013699587375,6829,5907
2481.701115462407,6783,5888
2481.801081244156,6850,5979
2481.9012673991233,6665,5829
2482.0014686766526,6783,5897
2482.101068948491,6722,5914
2482.2010949775813,6728,5927
2482.3013415131704,6698,5883
2482.401192241545,6504,5754
2482.5014689817917,6655,5901
2482.606899170158,6513,5841
2482.701451187755,6410,5739
2482.8013620660263,6366,5747
2482.9012879645443,6394,5791
2483.0014345409286,6251,5747
2483.1011848318226,6189,5797
2483.201361522421,6061,5702
2483.301347556614,6081,5797
2483.401142843995,6025,5792
2483.501158913897,5970,5746
2483.6013958615113,5975,5807
2483.7016479103504,5877,5741
2483.8012973544396,5966,5868
2483.905904141911,5785,5681
2484.0016708289445,5894,5811
2484.1011592001887,5855,5773
2484.201280516338,5820,5761
2484.3014168860327,5803,5750
2484.401362223303,5810,5743
2484.5011164377643,5832,5777
2484.6012978894196,5859,5796
2484.7010820419346,5767,5698
2484.801293560105,5743,5688
2484.901313903089,5759,5729
2485.001142980432,5781,5726
2485.101193311351,5818,5774
2485.2014649910748,5786,5742
2485.30113264785,5728,5685
2485.4012279939175,5673,5629
2485.5011319315204,5820,5780
2485.6010508297263,5758,5713
2485.701191181305,5765,5717
2485.80134656012,5908,5875
2485.900897311572,5784,5747
2486.001082658999,5727,5687
2486.1012830407803,5825,5785
2486.2010851689556,5636,5596
2486.3011088884755,5767,5723
2486.401147587509,5694,5641
2486.500994530495,5713,5679
2486.6010631646946,5652,5623
2486.701353585359,5562,5527
2486.801452226116,5750,5708
2486.901152134678,5830,5796
2487.001487591261,5744,5701
2487.101424258481,5508,5468
2487.201168907665,5655,5621
2487.301342404881,5761,5728
2487.401116872335,5673,5639
2487.50111326889,5734,5691
2487.6013316897292,5700,5668
2487.70115090223,5835,5807
2487.801192143731,5767,5740
2487.90145550946,5706,5668
2488.0013194881913,5677,5634
2488.1014055958703,5799,5755
2488.20129939962,5562,5537
2488.301208103948,5765,5725
2488.401131711201,5675,5643
2488.501484937407,5722,5673
2488.601231031615,5709,5673
2488.7011993926712,5687,5645
2488.801182666053,5677,5636
2488.9011808541104,5772,5747
2489.001193959195,5518,5485
2489.1014295261884,5675,5645
2489.2014725033414,5758,5731
2489.30111519573,5686,5649
2489.401395596833,5704,5675
2489.501275655993,5606,5573
2489.601378281655,5680,5648
2489.70128811257,5911,5873
2489.801212817419,5747,5719
2489.901360188637,5877,5845
2490.0011068582817,5741,5707
2490.101491902983,5814,5776
2490.2014761888713,5796,5767
2490.3012674464853,5751,5717
2490.4014894199554,5715,5682
2490.5013103939964,5868,5821
2490.6011461988624,5742,5709
2490.7014129122413,5835,5798
2490.801486516253,5642,5602
2490.901366920322,5643,5613
2491.0014702951407,5678,5634
2491.10117225129,5676,5635
2491.201097182857,5752,5713
2491.3014534083995,5771,5743
2491.401408098514,5645,5620
2491.5011693551564,5762,5724
2491.6011537203535,5808,5786
2491.701361289288,5753,5720
2491.801167022632,5850,5810
2491.9009875553093,5857,5823
2492.001448209783,5855,5825
2492.1012984408244,5879,5843
2492.201371980183,5731,5695
2492.3012518571095,5757,5725
2492.4011465450126,5799,5766
2492.501473235945,5697,5663
2492.6013976146473,5767,5742
2492.7011281545506,5913,5880
2492.8012908282826,5831,5803
2492.901259667873,5881,5852
2493.0012433324173,5703,5676
2493.101450604875,5826,5786
2493.206266641733,5651,5586
2493.3017009842547,5963,5928
2493.4013262867356,5881,5859
2493.5053533076994,5875,5841
2493.601665709708,5834,5798
2493.701335312296,5983,5957
2493.805408591087,5801,5764
2493.9013457641076,6024,5986
2494.0016868037524,5995,5961
2494.101415485059,5928,5900
2494.20534133094,6040,5997
2494.3013353416063,5927,5896
2494.401108279095,5927,5891
2494.5011051666356,5986,5953
2494.601326099431,5901,5864
2494.7011433448433,5909,5884
2494.8011846401596,5793,5760
2494.90145008063,6033,6008
2495.00110228601,6075,6049
2495.1062135926786,5911,5880
2495.2014979171013,5915,5872
2495.3014038100714,5945,5925
2495.401324459975,5880,5852
2495.501469392824,5936,5890
2495.6014195944836,5969,5940
2495.7011749744192,6061,6028
2495.8013642917576,6042,6014
2495.9013587920053,6090,6053
2496.0013680630814,6041,6013
2496.101392107304,6166,6141
2496.2014309269894,6154,6122
2496.3016942959516,5932,5891
2496.4013430996097,6259,6231
2496.5014262286054,6071,6040
2496.601314277995,6147,6116
2496.7012170525,6056,6031
2496.8011345544273,6142,6105
2496.901486700488,6234,6202
2497.0014337260864,6210,6176
2497.1009754478164,6083,6052
2497.206203153036,6367,6331
2497.3011531371712,6364,6336
2497.40115908307,6357,6324
2497.501179772558,6257,6219
2497.601215207944,6273,6241
2497.70126539154,6279,6250
2497.801120089746,6270,6233
2497.901199745703,6030,5987
2498.001504454712,6303,6272
2498.1011929965093,6200,6177
2498.201106534031,6159,6136
2498.3071361297325,6310,6282
2498.4013985551856,6274,6239
2498.5011458091494,6298,6259
2498.6011181919025,6359,6328
2498.701105283981,6280,6244
2498.801107087689,6386,6356
2498.905966883916,6336,6310
2499.0011548392063,6426,6386
2499.106045495589,6417,6386
2499.201261464886,6353,6312
2499.3011261607885,6578,6544
2499.4012162516565,6451,6407
2499.501321070284,6374,6330
2499.601440618979,6483,6455
2499.7011532511333,6458,6425
2499.8015130602857,6316,6289
2499.9012550091165,6415,6378
2500.0012224906854,6403,6369
